# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
200           	GAMG	8.499140e-02	1.854220e-04	2	true
201           	GAMG	8.555070e-02	1.861200e-04	2	true
202           	GAMG	8.558260e-02	1.836980e-04	2	true
203           	GAMG	8.644510e-02	1.874500e-04	2	true
204           	GAMG	8.629410e-02	1.832990e-04	2	true
205           	GAMG	8.720030e-02	1.900060e-04	2	true
206           	GAMG	8.745090e-02	1.887400e-04	2	true
207           	GAMG	8.730300e-02	1.876190e-04	2	true
208           	GAMG	8.671290e-02	1.897180e-04	2	true
209           	GAMG	8.595990e-02	1.904700e-04	2	true
210           	GAMG	8.501970e-02	1.910750e-04	2	true
211           	GAMG	8.435260e-02	1.890060e-04	2	true
212           	GAMG	8.314820e-02	1.872460e-04	2	true
213           	GAMG	8.133900e-02	1.976210e-04	2	true
214           	GAMG	8.129590e-02	1.864190e-04	2	true
215           	GAMG	8.060140e-02	1.778670e-04	2	true
216           	GAMG	8.107770e-02	1.746250e-04	2	true
217           	GAMG	8.137620e-02	1.770420e-04	2	true
218           	GAMG	8.122910e-02	1.691350e-04	2	true
219           	GAMG	8.082760e-02	1.700620e-04	2	true
220           	GAMG	7.998190e-02	1.740570e-04	2	true
221           	GAMG	7.972260e-02	1.830810e-04	2	true
222           	GAMG	7.881910e-02	1.854730e-04	2	true
223           	GAMG	7.849770e-02	1.875800e-04	2	true
224           	GAMG	7.751150e-02	1.894090e-04	2	true
225           	GAMG	7.795990e-02	1.966230e-04	2	true
226           	GAMG	7.864010e-02	2.070800e-04	2	true
227           	GAMG	7.912890e-02	2.041610e-04	2	true
228           	GAMG	7.905300e-02	2.047390e-04	2	true
229           	GAMG	7.906060e-02	2.026050e-04	2	true
230           	GAMG	7.922790e-02	1.972670e-04	2	true
231           	GAMG	7.935370e-02	2.005530e-04	2	true
232           	GAMG	7.936180e-02	1.952430e-04	2	true
233           	GAMG	7.926280e-02	1.939630e-04	2	true
234           	GAMG	7.965730e-02	1.969000e-04	2	true
235           	GAMG	7.989730e-02	1.976200e-04	2	true
236           	GAMG	7.985200e-02	1.865410e-04	2	true
237           	GAMG	8.037270e-02	1.849770e-04	2	true
238           	GAMG	8.086130e-02	1.865890e-04	2	true
239           	GAMG	8.146250e-02	1.826940e-04	2	true
240           	GAMG	8.244750e-02	1.804180e-04	2	true
241           	GAMG	8.324480e-02	1.788250e-04	2	true
242           	GAMG	8.352770e-02	1.813540e-04	2	true
243           	GAMG	8.226210e-02	1.709440e-04	2	true
244           	GAMG	8.133490e-02	1.755500e-04	2	true
245           	GAMG	8.181030e-02	1.781540e-04	2	true
246           	GAMG	8.105400e-02	1.685940e-04	2	true
247           	GAMG	8.137000e-02	1.685720e-04	2	true
248           	GAMG	8.056950e-02	1.602980e-04	2	true
249           	GAMG	7.980640e-02	1.637120e-04	2	true
250           	GAMG	7.955780e-02	1.614250e-04	2	true
251           	GAMG	7.900910e-02	1.646670e-04	2	true
252           	GAMG	7.970610e-02	1.621490e-04	2	true
253           	GAMG	8.008500e-02	1.607250e-04	2	true
254           	GAMG	7.967230e-02	1.553010e-04	2	true
255           	GAMG	8.062180e-02	1.535510e-04	2	true
256           	GAMG	8.131010e-02	1.534810e-04	2	true
257           	GAMG	8.178960e-02	1.561290e-04	2	true
258           	GAMG	8.194660e-02	1.581920e-04	2	true
259           	GAMG	8.104360e-02	1.571630e-04	2	true
260           	GAMG	7.977690e-02	1.535240e-04	2	true
261           	GAMG	7.929770e-02	1.566320e-04	2	true
262           	GAMG	7.874360e-02	1.613310e-04	2	true
263           	GAMG	7.850800e-02	1.646020e-04	2	true
264           	GAMG	7.767130e-02	1.611820e-04	2	true
265           	GAMG	7.772480e-02	1.697020e-04	2	true
266           	GAMG	7.744710e-02	1.716200e-04	2	true
267           	GAMG	7.689300e-02	1.741280e-04	2	true
268           	GAMG	7.618920e-02	1.718140e-04	2	true
269           	GAMG	7.553900e-02	1.693830e-04	2	true
270           	GAMG	7.549320e-02	1.685610e-04	2	true
271           	GAMG	7.509880e-02	1.644340e-04	2	true
272           	GAMG	7.539770e-02	1.628700e-04	2	true
273           	GAMG	7.500940e-02	1.600970e-04	2	true
274           	GAMG	7.438020e-02	1.559530e-04	2	true
275           	GAMG	7.411380e-02	1.633760e-04	2	true
276           	GAMG	7.368240e-02	1.610190e-04	2	true
277           	GAMG	7.357180e-02	1.653590e-04	2	true
278           	GAMG	7.387700e-02	1.713390e-04	2	true
279           	GAMG	7.405030e-02	1.727880e-04	2	true
280           	GAMG	7.488950e-02	1.758020e-04	2	true
281           	GAMG	7.503170e-02	1.772070e-04	2	true
282           	GAMG	7.539150e-02	1.749770e-04	2	true
283           	GAMG	7.629400e-02	1.743980e-04	2	true
284           	GAMG	7.662810e-02	1.818160e-04	2	true
285           	GAMG	7.729230e-02	1.760390e-04	2	true
286           	GAMG	7.759150e-02	1.832620e-04	2	true
287           	GAMG	7.913760e-02	1.886290e-04	2	true
288           	GAMG	7.914140e-02	1.880750e-04	2	true
289           	GAMG	7.882280e-02	1.945560e-04	2	true
290           	GAMG	7.862460e-02	1.950790e-04	2	true
291           	GAMG	7.823610e-02	1.925600e-04	2	true
292           	GAMG	7.771010e-02	1.860920e-04	2	true
293           	GAMG	7.763290e-02	1.796490e-04	2	true
294           	GAMG	7.704400e-02	1.762720e-04	2	true
295           	GAMG	7.685540e-02	1.705130e-04	2	true
296           	GAMG	7.703040e-02	1.618360e-04	2	true
297           	GAMG	7.762040e-02	1.608320e-04	2	true
298           	GAMG	7.714490e-02	1.643360e-04	2	true
299           	GAMG	7.706130e-02	1.690850e-04	2	true
300           	GAMG	7.820210e-02	1.760900e-04	2	true
301           	GAMG	7.766450e-02	1.832780e-04	2	true
302           	GAMG	7.812060e-02	1.775530e-04	2	true
303           	GAMG	7.804830e-02	1.736780e-04	2	true
304           	GAMG	7.815880e-02	1.802190e-04	2	true
305           	GAMG	7.715530e-02	1.728700e-04	2	true
306           	GAMG	7.634230e-02	1.732960e-04	2	true
307           	GAMG	7.603160e-02	1.723850e-04	2	true
308           	GAMG	7.605200e-02	1.722640e-04	2	true
309           	GAMG	7.507730e-02	1.718130e-04	2	true
310           	GAMG	7.486040e-02	1.721070e-04	2	true
311           	GAMG	7.440320e-02	1.659890e-04	2	true
